TVDSS,WELL,NPHI,GR,RHOB,PHIE,VSH
3192.1704,N9,0.28381,88.184,2.62,0.0,0.9637
3192.3228,N9,0.27881,97.412,2.603,6.7e-05,0.936
3192.6276,N9,0.31137,96.896,2.569,0.0,0.9734
3192.78,N9,0.34216,97.602,2.548,0.0,1.0
3192.9324,N9,0.37296,99.207,2.528,0.0,1.0
3193.0848,N9,0.35668,101.757,2.557,0.0,1.0
3193.2372,N9,0.32127,98.186,2.586,0.0,1.0
3193.3896,N9,0.30751,96.92,2.611,0.0,1.0
3193.542,N9,0.31079,95.347,2.611,0.0,1.0
3193.6944,N9,0.31128,95.347,2.616,0.0,1.0
3193.8468,N9,0.3021,95.909,2.619,0.0,1.0
3193.9992,N9,0.30117,96.174,2.618,0.0,1.0
3194.1516,N9,0.30342,93.442,2.625,0.0,1.0
3194.9136,N9,0.29047,97.07,2.632,0.0,1.0
3195.066,N9,0.2968,98.896,2.61,0.0,1.0
3195.2184,N9,0.30312,98.896,2.613,0.0,1.0
3195.3708,N9,0.30845,97.117,2.623,0.0,1.0
3195.5232,N9,0.31177,93.225,2.627,0.0,1.0
3195.6756,N9,0.32835,91.045,2.626,0.0,1.0
3195.828,N9,0.3258,93.567,2.628,0.0,1.0
3195.9804,N9,0.31235,99.131,2.63,0.0,1.0
3196.1328,N9,0.29776,101.47,2.626,0.0,1.0
3196.2852,N9,0.29868,98.682,2.621,0.0,1.0
3196.4376,N9,0.3057,97.952,2.595,0.0,1.0
3196.59,N9,0.30716,98.617,2.576,0.0,0.9739
3196.7424,N9,0.30936,101.897,2.563,0.0,0.9543
3196.8948,N9,0.32166,101.235,2.581,0.0,1.0
3197.0472,N9,0.33396,94.932,2.585,0.0,1.0
3197.1996,N9,0.32543,90.921,2.58,0.0,1.0
3197.6568,N9,0.31084,91.901,2.564,0.0,0.9612
3197.8092,N9,0.32748,97.802,2.554,0.0,0.9956
3197.9616,N9,0.34411,103.703,2.559,0.0,1.0
3198.114,N9,0.32367,107.473,2.571,0.0,1.0
3198.2664,N9,0.32337,106.05,2.584,0.0,1.0
3198.4188,N9,0.32049,104.628,2.563,0.0,0.9911
3198.5712,N9,0.33472,103.206,2.542,0.0,0.9947
3198.7236,N9,0.32885,101.784,2.541,0.0,0.9732
3198.876,N9,0.3336,100.362,2.546,0.0,0.9993
3199.3332,N9,0.25245,72.255,2.428,0.12331,0.4856
3199.4856,N9,0.22314,55.119,2.371,0.193585,0.0945
3199.638,N9,0.20828,44.877,2.361,0.200977,0.0305
3199.7904,N9,0.19486,40.081,2.383,0.193114,0.0005
3199.9428,N9,0.18143,36.25,2.387,0.185956,0.0
3200.0952,N9,0.18136,34.1,2.354,0.197638,0.0
3200.2476,N9,0.18531,30.884,2.32,0.21131,0.0
3200.4,N9,0.18482,28.486,2.286,0.223198,0.0
3200.5524,N9,0.18434,26.763,2.258,0.232951,0.0
3200.7048,N9,0.19229,31.066,2.246,0.240534,0.0
3200.8572,N9,0.21043,32.997,2.241,0.249747,0.0
3201.0096,N9,0.22473,33.504,2.244,0.254365,0.0
3201.162,N9,0.22198,32.788,2.246,0.252555,0.0
3201.3144,N9,0.21922,33.36,2.248,0.250738,0.0
3201.4668,N9,0.21917,33.36,2.252,0.249271,0.0
3201.6192,N9,0.22668,32.571,2.257,0.250413,0.0
3201.7716,N9,0.23418,29.533,2.254,0.254418,0.0
3201.924,N9,0.22485,28.129,2.25,0.252236,0.0
3202.0764,N9,0.21542,30.318,2.252,0.247781,0.0
3202.2288,N9,0.20599,31.57,2.257,0.242199,0.0
3202.3812,N9,0.19656,31.205,2.255,0.239079,0.0
3202.5336,N9,0.19448,32.015,2.257,0.23751,0.0
3202.686,N9,0.19559,33.482,2.262,0.236179,0.0
3202.8384,N9,0.20259,33.755,2.267,0.237235,0.0
3202.9908,N9,0.2096,34.029,2.262,0.241851,0.0
3203.1432,N9,0.2166,35.188,2.258,0.246083,0.0
3203.2956,N9,0.21652,36.143,2.256,0.246774,0.0
3203.448,N9,0.21579,35.9,2.255,0.246845,0.0
3203.6004,N9,0.21577,35.863,2.254,0.247198,0.0
3203.7528,N9,0.21723,35.066,2.252,0.248501,0.0
3203.9052,N9,0.2136,33.35,2.254,0.246334,0.0
3204.0576,N9,0.20156,31.826,2.257,0.240404,0.0
3204.21,N9,0.18952,32.385,2.26,0.234394,0.0
3204.3624,N9,0.19008,33.118,2.263,0.233556,0.0
3204.5148,N9,0.19414,33.431,2.259,0.236656,0.0
3204.6672,N9,0.19819,33.908,2.257,0.239031,0.0
3204.8196,N9,0.19595,34.571,2.254,0.239186,0.0
3204.972,N9,0.18746,35.234,2.258,0.234251,0.0
3205.1244,N9,0.17897,35.897,2.277,0.223964,0.0
3205.2768,N9,0.17048,33.109,2.296,0.213688,0.0
3205.4292,N9,0.16921,31.756,2.304,0.210333,0.0
3205.5816,N9,0.17161,30.54,2.307,0.210279,0.0
3205.734,N9,0.16511,31.451,2.314,0.205089,0.0
3205.8864,N9,0.14723,29.846,2.332,0.191184,0.0
3206.0388,N9,0.12935,27.278,2.364,0.17234,0.0
3206.1912,N9,0.12863,23.196,2.363,0.172369,0.0
3206.3436,N9,0.14797,24.486,2.322,0.194985,0.0
3206.496,N9,0.16731,31.54,2.29,0.214465,0.0
3206.6484,N9,0.19677,37.745,2.269,0.234158,0.0
3206.8008,N9,0.21009,39.86,2.266,0.240607,0.0
3206.9532,N9,0.2084,41.975,2.264,0.240651,0.0
3207.1056,N9,0.2022,44.09,2.256,0.241023,0.0
3207.258,N9,0.19937,43.06,2.248,0.242736,0.0
3207.4104,N9,0.19266,42.587,2.249,0.239616,0.0
3207.5628,N9,0.19431,40.675,2.253,0.238869,0.0
3207.7152,N9,0.19941,41.332,2.256,0.239887,0.0
3207.8676,N9,0.201,41.988,2.257,0.240177,0.0
3208.02,N9,0.19535,42.523,2.254,0.23894,0.0
3208.1724,N9,0.19529,41.793,2.26,0.236771,0.0
3208.3248,N9,0.19686,41.857,2.261,0.237056,0.0
3208.4772,N9,0.19843,42.13,2.26,0.238055,0.0
3208.6296,N9,0.2,42.386,2.258,0.239411,0.0
3208.782,N9,0.1999,42.568,2.259,0.239012,0.0
3208.9344,N9,0.19868,42.259,2.267,0.235651,0.0
3209.0868,N9,0.1997,42.901,2.277,0.232483,0.0
3209.2392,N9,0.20189,44.215,2.288,0.225283,0.0263
3209.3916,N9,0.20122,42.408,2.279,0.23131,0.0068
3209.544,N9,0.20304,40.534,2.262,0.239211,0.0
3209.6964,N9,0.20235,37.281,2.245,0.24503,0.0
3209.8488,N9,0.19885,38.254,2.248,0.242523,0.0
3210.0012,N9,0.19301,38.73,2.257,0.236905,0.0
3210.1536,N9,0.19055,38.568,2.265,0.233037,0.0
3210.306,N9,0.19117,38.406,2.274,0.230082,0.0
3210.4584,N9,0.19076,39.912,2.283,0.226705,0.0
3210.6108,N9,0.18726,42.974,2.295,0.220998,0.0
3210.7632,N9,0.1855,44.758,2.301,0.218087,0.0004
3210.9156,N9,0.18716,44.93,2.289,0.223093,0.0
3211.068,N9,0.19358,45.102,2.277,0.229998,0.0
3211.2204,N9,0.19413,45.273,2.276,0.230579,0.0
3211.3728,N9,0.19503,45.445,2.276,0.230946,0.0
3211.5252,N9,0.19978,45.617,2.274,0.23359,0.0
3211.6776,N9,0.20452,47.555,2.276,0.232976,0.0115
3211.83,N9,0.20506,47.555,2.279,0.23086,0.0195
3211.9824,N9,0.20765,47.555,2.287,0.22508,0.0447
3212.1348,N9,0.2129,49.532,2.289,0.224138,0.0596
3212.2872,N9,0.20483,47.271,2.291,0.222673,0.0437
3212.4396,N9,0.19534,46.688,2.31,0.212331,0.0418
3212.592,N9,0.18586,44.95,2.328,0.203789,0.0309
3212.7444,N9,0.18925,45.593,2.31,0.211487,0.0315
3212.8968,N9,0.19923,48.654,2.291,0.223329,0.0251
3213.0492,N9,0.1963,48.738,2.282,0.229317,0.0
3213.2016,N9,0.18827,45.673,2.289,0.223548,0.0
3213.354,N9,0.18249,43.217,2.286,0.222235,0.0
3213.5064,N9,0.19131,41.76,2.251,0.238344,0.0
3213.6588,N9,0.19229,42.31,2.242,0.241961,0.0
3213.8112,N9,0.19326,43.508,2.24,0.243078,0.0
3213.9636,N9,0.19636,44.706,2.238,0.245077,0.0
3214.116,N9,0.20658,45.905,2.236,0.249986,0.0
3214.2684,N9,0.21679,46.61,2.242,0.251939,0.0
3214.4208,N9,0.21412,47.511,2.263,0.240744,0.0163
3214.5732,N9,0.20731,48.789,2.285,0.226489,0.0394
3214.7256,N9,0.2005,50.265,2.295,0.220442,0.0376
3214.878,N9,0.20029,52.348,2.293,0.221836,0.0328
3215.0304,N9,0.21021,52.895,2.286,0.225464,0.0511
3215.1828,N9,0.20625,50.56,2.272,0.235511,0.0089
3215.3352,N9,0.204,49.862,2.259,0.240676,0.0
3215.4876,N9,0.20808,49.781,2.256,0.2434,0.0
3215.64,N9,0.20243,49.7,2.264,0.238247,0.0
3215.7924,N9,0.18655,43.602,2.273,0.228536,0.0
3215.9448,N9,0.18435,41.742,2.277,0.226203,0.0
3216.0972,N9,0.18362,41.64,2.276,0.226255,0.0
3216.2496,N9,0.17776,40.683,2.274,0.22452,0.0
3216.402,N9,0.17172,40.329,2.271,0.223033,0.0
3216.5544,N9,0.17074,40.912,2.261,0.226146,0.0
3216.7068,N9,0.17199,41.391,2.25,0.230562,0.0
3216.8592,N9,0.17756,42.918,2.261,0.22904,0.0
3217.0116,N9,0.18894,43.191,2.272,0.229878,0.0
3217.164,N9,0.18952,43.465,2.283,0.226197,0.0
3217.3164,N9,0.18645,39.541,2.278,0.226715,0.0
3217.4688,N9,0.17879,39.833,2.276,0.224243,0.0
3217.6212,N9,0.17507,40.452,2.269,0.225158,0.0
3217.7736,N9,0.17356,40.746,2.268,0.224873,0.0
3217.926,N9,0.17677,42.102,2.268,0.226229,0.0
3218.0784,N9,0.17738,42.648,2.27,0.225777,0.0
3218.2308,N9,0.17655,42.336,2.274,0.224012,0.0
3218.3832,N9,0.17828,42.023,2.278,0.223321,0.0
3218.5356,N9,0.18433,41.71,2.283,0.224062,0.0
3218.688,N9,0.18934,41.402,2.281,0.226836,0.0
3218.8404,N9,0.1866,41.326,2.271,0.229268,0.0
3218.9928,N9,0.18989,41.249,2.266,0.232408,0.0
3219.1452,N9,0.18478,41.172,2.276,0.226736,0.0
3219.2976,N9,0.18317,41.095,2.284,0.223227,0.0
3219.45,N9,0.18213,41.018,2.283,0.223151,0.0
3219.6024,N9,0.18408,40.942,2.284,0.223603,0.0
3219.7548,N9,0.18656,37.528,2.285,0.22427,0.0
3219.9072,N9,0.1854,35.948,2.279,0.225926,0.0
3220.0596,N9,0.18125,35.411,2.27,0.227399,0.0
3220.212,N9,0.17565,37.842,2.265,0.226818,0.0
3220.3644,N9,0.17413,40.273,2.274,0.222993,0.0
3220.5168,N9,0.17579,42.704,2.281,0.221216,0.0
3220.6692,N9,0.17798,43.372,2.282,0.221779,0.0
3220.8216,N9,0.1778,41.0,2.279,0.222766,0.0
3220.974,N9,0.17707,38.629,2.274,0.224231,0.0
3221.1264,N9,0.17634,37.387,2.264,0.227463,0.0
3221.2788,N9,0.17561,37.948,2.259,0.228923,0.0
3221.4312,N9,0.17607,40.137,2.259,0.229118,0.0
